trip_distance_km,passenger_count,trip_price,weather_impact,traffic_multiplier,is_morning_rush,is_evening_rush,is_peak_hours,is_weekend,high_impact_trip,condition_score,distance_x_conditions
35.95,4.0,40.4165,1.0,1.0,0,0,0,1,0,1.0,35.95
38.28,1.0,63.56110000000001,1.0,1.1,0,0,0,0,0,1.1,42.108000000000004
28.5,1.0,105.9418,1.0,1.1,0,0,0,0,0,1.1,31.35
38.78,3.0,79.42460000000001,1.0,1.1,1,0,1,0,0,1.1,42.658
25.199999999999992,1.0,60.077,1.0,1.1,1,0,1,1,0,1.1,27.719999999999995
26.61,4.0,33.0286,1.15,1.0,1,0,1,0,0,1.15,30.601499999999998
21.95,3.0,27.865,1.0,1.1,1,0,1,0,0,1.1,24.145
2.25,3.0,40.65,1.0,1.0,0,1,1,1,0,1.0,2.25
6.29,3.0,29.645000000000003,1.0,1.0,0,0,0,0,0,1.0,6.29
2.54,2.0,25.7527,1.0,1.0,1,0,1,1,0,1.0,2.54
32.18,2.0,62.4923,1.15,1.1,0,0,0,0,0,1.265,40.707699999999996
16.4,1.0,53.9332,1.15,1.0,0,1,1,0,0,1.15,18.859999999999996
25.92,3.0,58.7766,1.0,1.0,0,0,0,0,0,1.0,25.92
45.47,4.0,73.4155,1.15,1.0,0,0,0,1,0,1.15,52.290499999999994
13.22,2.0,31.99,1.15,1.0,1,0,1,0,0,1.15,15.203
21.11,4.0,34.3067,1.15,1.25,0,0,0,1,1,1.4375,30.345625
38.02,4.0,66.2817,1.0,1.0,0,1,1,0,0,1.0,38.02
112.8309582902826,2.0,233.00828520738887,1.3,1.25,0,0,0,0,1,1.625,183.35030722170922
102.74755620694734,2.0,274.53508679715014,1.0,1.1,0,1,1,0,0,1.1,113.02231182764208
8.900000000000004,2.0,37.355900000000005,1.0,1.0,1,0,1,0,0,1.0,8.900000000000004
46.56,3.0,99.8038,1.0,1.0,1,0,1,0,0,1.0,46.56
40.6,3.0,29.532000000000004,1.0,1.1,0,0,0,1,0,1.1,44.660000000000004
32.04,3.0,30.446,1.0,1.0,0,0,0,0,0,1.0,32.04
43.7,3.0,106.0042,1.0,1.0,0,0,0,0,0,1.0,43.7
40.38,1.0,63.432300000000005,1.15,1.1,1,0,1,0,0,1.265,51.0807
10.14,3.0,19.974400000000003,1.15,1.25,0,1,1,0,1,1.4375,14.576250000000002
44.74,2.0,62.8678,1.0,1.1,0,0,0,0,0,1.1,49.214000000000006
27.43,4.0,52.7821,1.15,1.0,1,0,1,1,0,1.15,31.544499999999996
40.56,3.0,82.0828,1.15,1.1,0,1,1,1,0,1.265,51.3084
44.91,1.0,63.0611,1.15,1.0,0,0,0,0,0,1.15,51.64649999999999
16.58,2.0,34.8998,1.0,1.0,0,1,1,0,0,1.0,16.58
6.39,4.0,51.6275,1.0,1.25,0,1,1,0,1,1.25,7.9875
12.17,4.0,25.4826,1.15,1.0,0,0,0,1,0,1.15,13.995499999999998
21.93,3.0,48.024,1.0,1.0,0,0,0,0,0,1.0,21.93
41.08,4.0,90.5124,1.0,1.0,1,0,1,0,0,1.0,41.08
43.18,3.0,98.6948,1.0,1.25,0,0,0,0,1,1.25,53.975
1.34,3.0,22.718200000000003,1.0,1.1,0,0,0,1,0,1.1,1.4740000000000002
26.03,2.0,76.20850000000002,1.0,1.1,1,0,1,0,0,1.1,28.633000000000003
21.45,2.0,53.056,1.0,1.1,0,1,1,0,0,1.1,23.595000000000002
11.88,1.0,22.544600000000003,1.0,1.0,0,0,0,0,0,1.0,11.88
6.87,2.0,14.935,1.15,1.1,1,0,1,0,0,1.265,8.69055
17.54,2.0,50.696,1.15,1.0,1,0,1,0,0,1.15,20.170999999999996
47.2,3.0,85.6182,1.0,1.0,0,0,0,1,0,1.0,47.2
16.84,2.0,30.942000000000004,1.3,1.1,1,0,1,1,1,1.4300000000000002,24.081200000000003
26.42,3.0,75.22040000000001,1.0,1.25,0,1,1,0,1,1.25,33.025000000000006
35.45000000000001,3.0,73.587,1.0,1.0,0,0,0,0,0,1.0,35.45000000000001
18.82,2.0,22.8766,1.15,1.0,0,0,0,0,0,1.15,21.642999999999997
48.62,1.0,67.2293,1.15,1.0,0,0,0,1,0,1.15,55.91299999999999
48.16,1.0,110.2544,1.15,1.0,0,0,0,1,0,1.15,55.38399999999999
109.61608204688008,4.0,327.21766546350466,1.0,1.25,0,0,0,0,1,1.25,137.02010255860012
25.370000000000005,4.0,44.7092,1.15,1.1,0,0,0,1,0,1.265,32.093050000000005
15.74,2.0,39.4624,1.0,1.0,0,0,0,0,0,1.0,15.74
14.96,1.0,28.5862,1.15,1.1,1,0,1,0,0,1.265,18.9244
2.81,3.0,27.4942,1.15,1.0,0,1,1,1,0,1.15,3.2314999999999996
30.87,4.0,76.4286,1.0,1.1,0,1,1,0,0,1.1,33.957
25.63,3.0,54.1556,1.0,1.1,0,0,0,0,0,1.1,28.193
3.52,4.0,29.4228,1.15,1.1,0,1,1,0,0,1.265,4.4528
14.65,2.0,40.020700000000005,1.0,1.25,0,1,1,1,1,1.25,18.3125
45.51,1.0,36.4958,1.0,1.1,0,1,1,0,0,1.1,50.061
12.74,4.0,35.357200000000006,1.15,1.0,0,1,1,0,0,1.15,14.651
8.1,1.0,14.6127,1.0,1.25,0,0,0,1,1,1.25,10.125
24.98,3.0,52.5934,1.15,1.0,0,0,0,1,0,1.15,28.726999999999997
49.3,2.0,63.866,1.0,1.0,0,0,0,0,0,1.0,49.3
12.86,1.0,39.5698,1.0,1.0,0,1,1,0,0,1.0,12.86
33.93,2.0,59.92869999999999,1.15,1.0,1,0,1,0,0,1.15,39.019499999999994
38.32,1.0,52.6453,1.0,1.1,0,1,1,0,0,1.1,42.152
12.64,3.0,20.3819,1.0,1.1,0,1,1,0,0,1.1,13.904000000000002
36.68,3.0,76.6192,1.15,1.25,0,0,0,1,1,1.4375,52.7275
19.02,2.0,35.0028,1.0,1.1,0,1,1,0,0,1.1,20.922
31.98,3.0,57.7533,1.0,1.1,1,0,1,0,0,1.1,35.178000000000004
32.04,4.0,40.8518,1.0,1.0,0,0,0,0,0,1.0,32.04
27.25,1.0,66.566,1.15,1.0,0,1,1,1,0,1.15,31.3375
5.42,3.0,30.318,1.15,1.1,1,0,1,0,0,1.265,6.856299999999999
41.93,4.0,87.6519,1.15,1.1,0,1,1,1,0,1.265,53.04145
16.720000000000002,2.0,51.9016,1.0,1.25,0,1,1,0,1,1.25,20.900000000000002
10.14,4.0,30.582600000000006,1.15,1.0,0,0,0,0,0,1.15,11.661
3.0,2.0,19.6645,1.0,1.0,1,0,1,0,0,1.0,3.0
29.95,2.0,48.7802,1.0,1.1,1,0,1,0,0,1.1,32.945
34.2,1.0,86.1412,1.0,1.0,0,0,0,0,0,1.0,34.2
1.81,1.0,12.5567,1.15,1.0,0,0,0,0,0,1.15,2.0814999999999997
26.09,4.0,54.62179999999999,1.15,1.1,0,0,0,0,0,1.265,33.00385
12.1,2.0,19.2643,1.0,1.0,1,0,1,1,0,1.0,12.1
32.61,1.0,31.3891,1.0,1.1,0,0,0,0,0,1.1,35.871
9.54,1.0,33.1785,1.15,1.0,0,0,0,1,0,1.15,10.970999999999998
34.86,4.0,62.895,1.0,1.0,0,1,1,0,0,1.0,34.86
46.9,1.0,75.1464,1.0,1.25,0,1,1,0,1,1.25,58.625
7.74,1.0,15.0994,1.0,1.0,0,0,0,0,0,1.0,7.74
17.71,4.0,31.829600000000003,1.0,1.1,0,0,0,0,0,1.1,19.481
6.56,3.0,39.4174,1.0,1.0,0,0,0,0,0,1.0,6.56
46.31,1.0,96.939,1.15,1.1,0,0,0,0,0,1.265,58.58215
43.99,2.0,66.5363,1.0,1.0,0,0,0,0,0,1.0,43.99
13.64,4.0,29.5606,1.15,1.1,1,0,1,0,0,1.265,17.2546
33.34,1.0,51.2721,1.0,1.1,0,0,0,1,0,1.1,36.67400000000001
41.04,1.0,63.522400000000005,1.0,1.25,0,0,0,1,1,1.25,51.3
28.2,2.0,37.086,1.0,1.0,1,0,1,1,0,1.0,28.2
26.95,2.0,44.7548,1.0,1.0,0,0,0,1,0,1.0,26.95
12.85,4.0,23.4957,1.3,1.0,0,1,1,0,1,1.3,16.705000000000002
5.56,4.0,19.145,1.0,1.25,1,0,1,0,1,1.25,6.949999999999999
44.959999999999994,2.0,76.1018,1.0,1.1,0,0,0,1,0,1.1,49.455999999999996
45.12,4.0,79.70039999999999,1.0,1.1,0,0,0,0,0,1.1,49.632
32.02,2.0,60.38660000000001,1.0,1.0,0,0,0,0,0,1.0,32.02
17.61,1.0,58.257000000000005,1.0,1.0,1,0,1,0,0,1.0,17.61
18.11,2.0,59.7113,1.15,1.0,0,1,1,0,0,1.15,20.8265
36.57,2.0,89.0764,1.0,1.25,0,0,0,0,1,1.25,45.7125
44.96,3.0,77.18900000000001,1.0,1.1,0,0,0,1,0,1.1,49.456
44.47,2.0,95.1969,1.0,1.25,0,1,1,0,1,1.25,55.5875
39.21,2.0,54.6348,1.3,1.0,1,0,1,0,1,1.3,50.973000000000006
32.46,3.0,102.8806,1.0,1.0,0,1,1,1,0,1.0,32.46
5.12,4.0,51.45840000000001,1.0,1.1,1,0,1,0,0,1.1,5.632000000000001
8.92,3.0,28.4048,1.0,1.0,1,0,1,0,0,1.0,8.92
45.03,1.0,53.2857,1.0,1.25,0,0,0,0,1,1.25,56.2875
30.72,3.0,45.5308,1.0,1.0,0,0,0,1,0,1.0,30.72
1.45,1.0,12.2396,1.0,1.25,0,1,1,1,1,1.25,1.8125
5.97,4.0,44.95569999999999,1.15,1.1,0,0,0,0,0,1.265,7.5520499999999995
33.51,3.0,71.6912,1.0,1.0,0,0,0,1,0,1.0,33.51
1.25,3.0,9.8005,1.15,1.0,0,0,0,0,0,1.15,1.4375
8.88,4.0,59.96039999999999,1.0,1.25,0,0,0,1,1,1.25,11.100000000000001
27.89,1.0,31.3844,1.0,1.0,0,0,0,1,0,1.0,27.89
34.9,3.0,44.1375,1.0,1.1,0,0,0,1,0,1.1,38.39
32.95,1.0,70.2223,1.0,1.1,1,0,1,0,0,1.1,36.245000000000005
11.99,2.0,40.839400000000005,1.15,1.1,0,1,1,1,0,1.265,15.167349999999999
35.9,2.0,82.23349999999999,1.0,1.25,0,0,0,1,1,1.25,44.875
12.63,3.0,66.10159999999999,1.0,1.0,1,0,1,0,0,1.0,12.63
16.94,4.0,25.662,1.0,1.0,1,0,1,1,0,1.0,16.94
37.58,4.0,86.22719999999998,1.3,1.0,0,0,0,0,1,1.3,48.854
32.83,1.0,58.9648,1.0,1.1,0,0,0,1,0,1.1,36.113
42.61,3.0,72.86829999999999,1.15,1.0,1,0,1,0,0,1.15,49.00149999999999
33.22,1.0,70.5816,1.0,1.0,0,0,0,1,0,1.0,33.22
28.85,1.0,63.9534,1.0,1.25,1,0,1,0,1,1.25,36.0625
5.59,2.0,17.147599999999997,1.0,1.25,0,0,0,0,1,1.25,6.9875
19.02,2.0,43.9748,1.0,1.0,0,0,0,0,0,1.0,19.02
13.99,4.0,69.9337,1.0,1.0,0,0,0,0,0,1.0,13.99
130.80900130744172,1.0,328.8717691378544,1.0,1.25,0,0,0,0,1,1.25,163.51125163430214
48.68,4.0,58.9584,1.15,1.0,0,0,0,0,0,1.15,55.98199999999999
20.26,3.0,23.0728,1.15,1.0,1,0,1,0,0,1.15,23.299
44.71,1.0,110.82919999999999,1.15,1.0,0,0,0,0,0,1.15,51.4165
31.93,1.0,71.4247,1.0,1.1,0,0,0,0,0,1.1,35.123000000000005
39.95,3.0,59.828,1.0,1.0,0,1,1,1,0,1.0,39.95
25.63,3.0,39.066,1.0,1.25,1,0,1,0,1,1.25,32.0375
29.27,4.0,62.982,1.15,1.1,1,0,1,1,0,1.265,37.02654999999999
25.13,4.0,53.2792,1.15,1.1,1,0,1,1,0,1.265,31.789449999999995
10.569999999999999,3.0,18.7636,1.0,1.0,0,0,0,0,0,1.0,10.569999999999999
36.4,4.0,94.105,1.0,1.1,0,0,0,0,0,1.1,40.04
14.76,3.0,55.71979999999999,1.0,1.1,0,1,1,1,0,1.1,16.236
2.19,1.0,6.472899999999999,1.0,1.1,0,0,0,0,0,1.1,2.4090000000000003
32.63,1.0,35.8539,1.0,1.1,0,0,0,0,0,1.1,35.89300000000001
9.68,2.0,31.341,1.0,1.1,1,0,1,0,0,1.1,10.648
47.08,1.0,65.587,1.15,1.25,0,1,1,1,1,1.4375,67.6775
47.74,3.0,44.733,1.0,1.25,0,1,1,0,1,1.25,59.675000000000004
45.83,4.0,88.1462,1.0,1.1,0,1,1,0,0,1.1,50.413000000000004
19.14,2.0,41.6946,1.3,1.0,0,1,1,1,1,1.3,24.882
1.76,2.0,23.3132,1.0,1.0,0,1,1,1,0,1.0,1.76
46.49,3.0,118.0321,1.0,1.0,0,0,0,0,0,1.0,46.49
21.98,1.0,41.2036,1.0,1.1,1,0,1,0,0,1.1,24.178
48.37,2.0,41.2217,1.0,1.1,1,0,1,1,0,1.1,53.207
48.22,3.0,105.144,1.0,1.1,0,0,0,0,0,1.1,53.042
42.8,2.0,57.55120000000001,1.15,1.25,0,0,0,0,1,1.4375,61.525
15.43,2.0,29.0991,1.0,1.25,0,1,1,0,1,1.25,19.2875
19.87,1.0,41.5138,1.0,1.25,0,0,0,1,1,1.25,24.837500000000002
42.71,3.0,48.4081,1.0,1.0,1,0,1,0,0,1.0,42.71
16.53,4.0,21.4931,1.0,1.1,1,0,1,1,0,1.1,18.183000000000003
9.31,2.0,32.415000000000006,1.15,1.0,0,0,0,1,0,1.15,10.7065
28.28,2.0,77.5496,1.15,1.0,0,0,0,0,0,1.15,32.522
46.87,4.0,92.6832,1.0,1.0,1,0,1,0,0,1.0,46.87
35.11,3.0,70.2411,1.15,1.0,0,0,0,0,0,1.15,40.37649999999999
28.93,2.0,74.5744,1.0,1.1,1,0,1,0,0,1.1,31.823000000000004
5.76,2.0,19.3694,1.3,1.25,0,0,0,0,1,1.625,9.36
31.14,2.0,35.4798,1.0,1.0,0,0,0,1,0,1.0,31.14
49.51,3.0,52.9568,1.3,1.1,0,1,1,0,1,1.4300000000000002,70.7993
43.99,3.0,87.57070000000002,1.0,1.1,1,0,1,0,0,1.1,48.389
37.3,3.0,107.7025,1.3,1.0,1,0,1,0,1,1.3,48.489999999999995
35.15,1.0,91.8308,1.15,1.1,0,0,0,0,0,1.265,44.464749999999995
116.196063616616,4.0,206.69956969976877,1.0,1.1,0,0,0,1,0,1.1,127.81566997827761
139.06223019422194,2.0,276.84059674137075,1.15,1.0,0,0,0,0,0,1.15,159.92156472335523
15.389999999999997,3.0,29.5584,1.0,1.0,1,0,1,0,0,1.0,15.389999999999997
40.66,2.0,41.4292,1.0,1.1,0,0,0,0,0,1.1,44.726
40.7,2.0,91.2296,1.0,1.0,0,1,1,0,0,1.0,40.7
43.49,1.0,79.6245,1.0,1.0,0,1,1,0,0,1.0,43.49
45.75,3.0,50.5038,1.15,1.1,1,0,1,0,0,1.265,57.873749999999994
26.06,4.0,58.006099999999996,1.0,1.1,0,0,0,1,0,1.1,28.666
25.57,3.0,29.0584,1.15,1.25,1,0,1,0,1,1.4375,36.756875
40.12,2.0,96.546,1.0,1.25,1,0,1,1,1,1.25,50.15
32.85,4.0,54.4414,1.0,1.1,0,0,0,0,0,1.1,36.135000000000005
35.4,3.0,117.7468,1.0,1.0,1,0,1,0,0,1.0,35.4
39.99,2.0,39.538,1.0,1.25,0,0,0,0,1,1.25,49.987500000000004
44.61,2.0,55.9143,1.0,1.0,0,0,0,0,0,1.0,44.61
17.56,1.0,36.0458,1.0,1.0,0,1,1,0,0,1.0,17.56
19.4,1.0,46.274,1.0,1.0,0,0,0,0,0,1.0,19.4
5.61,1.0,16.6464,1.0,1.25,0,0,0,0,1,1.25,7.0125
29.34,2.0,82.3678,1.0,1.25,0,0,0,0,1,1.25,36.675
2.76,3.0,27.5006,1.0,1.0,0,0,0,0,0,1.0,2.76
23.81,1.0,63.1719,1.15,1.1,1,0,1,1,0,1.265,30.119649999999996
100.38042000901908,3.0,329.9130039401465,1.15,1.1,0,0,0,0,0,1.265,126.98123131140912
15.04,1.0,33.4311,1.0,1.0,1,0,1,0,0,1.0,15.04
29.95,4.0,69.47070000000001,1.0,1.25,1,0,1,0,1,1.25,37.4375
2.49,2.0,41.699,1.0,1.0,0,0,0,0,0,1.0,2.49
2.83,1.0,8.920300000000001,1.3,1.0,1,0,1,0,1,1.3,3.6790000000000003
41.31,2.0,56.05960000000001,1.0,1.1,0,0,0,0,0,1.1,45.44100000000001
18.65,1.0,54.49459999999999,1.0,1.1,0,0,0,0,0,1.1,20.515
7.23,1.0,33.7491,1.0,1.0,0,1,1,0,0,1.0,7.23
26.59,2.0,34.2597,1.0,1.1,1,0,1,0,0,1.1,29.249000000000002
38.73,2.0,87.29869999999998,1.0,1.1,1,0,1,0,0,1.1,42.603
11.58,3.0,26.9202,1.15,1.0,1,0,1,0,0,1.15,13.316999999999998
31.52,1.0,29.0925,1.0,1.0,0,0,0,0,0,1.0,31.52
5.18,2.0,21.7323,1.0,1.1,0,1,1,0,0,1.1,5.698
3.53,1.0,16.1211,1.0,1.0,1,0,1,1,0,1.0,3.53
27.04,2.0,25.6218,1.0,1.25,0,0,0,0,1,1.25,33.8
145.74705994904548,3.0,325.0989498083767,1.15,1.25,1,0,1,0,1,1.4375,209.5113986767529
32.23,3.0,70.5144,1.0,1.25,0,0,0,0,1,1.25,40.287499999999994
36.58,4.0,57.791,1.15,1.0,0,1,1,1,0,1.15,42.06699999999999
48.82,2.0,99.5104,1.0,1.25,0,1,1,0,1,1.25,61.025
26.3,2.0,65.9299,1.0,1.1,0,1,1,0,0,1.1,28.930000000000003
16.82,4.0,65.1668,1.3,1.0,0,1,1,0,1,1.3,21.866
39.96,4.0,45.782,1.0,1.0,0,0,0,0,0,1.0,39.96
14.27,2.0,19.1962,1.15,1.0,0,1,1,0,0,1.15,16.4105
22.51,4.0,45.2531,1.0,1.0,1,0,1,0,0,1.0,22.51
4.84,3.0,13.9136,1.15,1.1,0,1,1,0,0,1.265,6.122599999999999
2.24,1.0,19.9412,1.0,1.0,0,0,0,0,0,1.0,2.24
48.17,3.0,96.3487,1.0,1.1,0,1,1,1,0,1.1,52.98700000000001
41.96,4.0,68.65440000000001,1.15,1.0,0,0,0,1,0,1.15,48.254
35.1,2.0,53.5767,1.15,1.0,0,0,0,0,0,1.15,40.365
21.04,2.0,34.726,1.15,1.0,0,0,0,0,0,1.15,24.195999999999998
9.49,3.0,43.8894,1.15,1.25,0,1,1,0,1,1.4375,13.641875
8.67,2.0,53.1349,1.15,1.25,1,0,1,0,1,1.4375,12.463125
13.26,4.0,38.814400000000006,1.0,1.1,1,0,1,0,0,1.1,14.586
27.91,3.0,42.0962,1.0,1.0,1,0,1,1,0,1.0,27.91
36.02,2.0,79.2381,1.0,1.0,1,0,1,1,0,1.0,36.02
33.35,1.0,74.59979999999999,1.0,1.25,0,1,1,0,1,1.25,41.6875
14.72,2.0,38.0988,1.0,1.0,1,0,1,0,0,1.0,14.72
47.79,4.0,71.3962,1.0,1.0,0,0,0,1,0,1.0,47.79
37.16,2.0,84.4676,1.0,1.0,0,0,0,1,0,1.0,37.16
28.16,2.0,64.7324,1.0,1.0,1,0,1,1,0,1.0,28.16
30.969999999999995,3.0,37.4586,1.0,1.1,0,1,1,0,0,1.1,34.067
13.14,3.0,23.105000000000004,1.0,1.0,0,0,0,0,0,1.0,13.14
18.44,2.0,48.027,1.15,1.0,0,0,0,0,0,1.15,21.206
38.13,4.0,41.544,1.15,1.25,0,0,0,0,1,1.4375,54.811875
1.71,4.0,22.4347,1.0,1.25,1,0,1,0,1,1.25,2.1375
6.69,4.0,44.6007,1.0,1.0,0,0,0,0,0,1.0,6.69
3.25,3.0,28.5966,1.0,1.1,0,0,0,0,0,1.1,3.575
3.0,1.0,8.729600000000001,1.0,1.0,0,0,0,0,0,1.0,3.0
42.92,3.0,71.095,1.0,1.25,1,0,1,0,1,1.25,53.650000000000006
35.48,3.0,81.39859999999999,1.0,1.0,0,0,0,0,0,1.0,35.48
116.66768073006573,2.0,248.29520891209057,1.0,1.25,1,0,1,0,1,1.25,145.83460091258215
5.79,2.0,19.973,1.0,1.1,1,0,1,0,0,1.1,6.369000000000001
